StockTicker,ListedExchCode,CompanyName,Sector,Industry,Total_Mark,Total_Price_Valuation_Mark,Total_Stock_Holder_Mark,Total_Analyst_Mark,EpsRegressGrowth_Reuters,EpsRegressGrowth_Reuters_rm,EpsRegressGrowth_Nasdaq,EpsRegressGrowth_Nasdaq_rm,M1QEps,M1QEps_rm,M2QEps,M2QEps_rm,M3QEps,M3QEps_rm,M4QEps,M4QEps_rm,M1QvsM2Q,M1QvsM2Q_rm,M2QvsM3Q,M2QvsM3Q_rm,M3QvsM4Q,M3QvsM4Q_rm,Pe,PEG_Reuters,PEG_Reuters_rm,PEG_Nasdaq,PEG_Nasdaq_rm,PEvsIndustry,PEvsIndustry_rm,PEvsSector,PEvsSector_rm,ReturnOnEquity,ReturnOnEquity_rm,PercentageHeldByInstitutions_Nasdaq,PercentageHeldByInstitutions_Nasdaq_rm,NetSharesTradedByInstitutions,NetSharesTradedByInstitutions_rm,NetNumOfSharesTradedByInsidersIn3M,NetNumOfSharesTradedByInsidersIn3M_rm,ClosePrice,Beta,Fair_Price_PE,Fair_Price_PE_vs_Close_Price_rm,Fair_Price_PEG_Reuters,Fair_Price_PEG_Reuters_vs_Close_Price_rm,Fair_Price_PEG_Nasdaq,Fair_Price_PEG_Nasdaq_vs_Close_Price_rm,PeterLynchAnalysis_rm,BenjaminGarhamAnalysis_rm,MomentumStrategyAnalysis_rm,JamesOShaughnessyAnalysis_rm,MotleyFoolAnalysis_rm,DavidDremanAnalysis_rm,MartinZweigAnalysis_rm,KennethFisherAnalysis_rm,VolumeChange,VolumeChange_rm
TREE,IXIC,LendingTree Inc ,Financials,Consumer Lending,83.768348,22.012238,0,0,31.1452381,12.31285,46.13,17.392157,3.17,4.559249,2.415,0,0.212,0,0.736,0,31.26293996,0,1039.150943,16.476812,-71.19565217,0,36.11,1.159406773,0,0.782787774,0,0.848950333,0,0.932049224,0,29.09,0,0.866893603,0,-231785,0,84838,11.015042,235.9,2.1,411.0323952,0,1103.594984,7.201391,1634.562447,14.810847,0,0,0,0,0,0,0,0,-0.3457,0
OSN,IXIC,Ossen Innovation Co Ltd ,Basic Materials,Steel,83.092455,22.386687,0,8.526316,0.504761905,0,0,0,0.128,0,0.081,0,0.059,0,0.003,0,58.02469136,0,37.28813559,0,1866.666667,26.183609,2.49,4.933018868,0,NULL,0,-0.825263158,5.014327,-0.924932168,20.981516,5.55,0,0.007629225,0,22059,0,0,0,2.04,2.05,50.32004096,22.386687,2.189624114,0,NULL,0,0,8.526316,0,0,0,0,0,0,-0.685,0
HFC,NYSE,HollyFrontier Corp ,Energy,Oil & Gas Refining and Marketing,78.648815,31.233226,5.549432,8,26.36071429,9.362597,33.47,11.494721,1.939,0,1.501,0,1.178,0,1.531,0,29.1805463,0,27.41935484,0,-23.0568256,0,11.45,0.434358488,13.008839,0.342097401,0,-0.451628352,0,-0.054500413,0,20.9,0,0.905349488,0,6144820,5.549432,0,0,70.39,1.16,213.6583019,0,485.5332285,12.338689,616.4778762,18.894537,0,0,0,0,0,8,0,0,-0.3146,0
LMT,NYSE,Lockheed Martin Corp ,Industrials,AERO/DEF,78.020555,0,0,0,12.93452381,0,12.54,0,4.051,11.572654,4.019,9.365921,4.015,10.650853,3.238,12.484134,0.796217965,0,0.099626401,0,23.99629401,0,21.92,1.69468937,0,1.74800638,0,-0.175319789,0,-0.08015107,0,524.21,33.946993,0.788608761,0,709436,0,4811,0,335.8,0.69,316.6981579,0,353.1327469,0,342.3616294,0,0,0,0,0,0,0,0,0,-0.0829,0
FCX,NYSE,Freeport-McMoRan Inc ,Basic Materials,Integrated Mining,76.64054,27.848098,16.910536,15.859649,6.116666667,0,-32.72,0,0.597,0,0.482,0,0.433,0,0.188,0,23.85892116,0,11.31639723,0,130.3191489,0,8.05,1.316076294,0,-0.246026895,0,-0.53815261,0,-0.757310823,16.022257,30.64,0,0.726206337,0,13302374,16.910536,3475,0,13.69,2.5,127.3807733,19.638271,67.16773534,8.209827,-359.3016295,0,0,5.526316,0,0,0,10.333333,0,0,-0.1256,0
GOOGL,IXIC,Alphabet Inc ,Technology,Internet Services,75.476412,0,0,0,23.725,6.129775,14.58,0,4.543,14.691153,13.332,18.562151,9.795,17.185142,9.566,18.908191,-65.92409241,0,36.11026034,0,2.393895045,0,31.63,1.333192835,0,2.169410151,0,-0.539659438,0,1.342962963,0,16.84,0,0.800359879,0,294013,0,0,0,1177.98,1.12,1249.720956,0,2556.002558,0,1570.76996,0,0,0,0,0,0,0,0,0,-0.3129,0
IMKTA,IXIC,Ingles Markets Inc ,Consumer Non-Cyclicals,Food Retail & Distribution,74.242726,0,0,4.526316,14.41666667,0,12.73,0,1.208,0,0.459,0,3.546,8.526125,0.956,0,163.1808279,6.024289,-87.05583756,0,270.9205021,3.117717,5.75,0.398843931,13.989917,0.451688924,0,-0.932209385,18.996657,-0.855382294,19.061705,23.25,0,0.920279802,0,-134068,0,-2250,0,35.45,0.39,72.03927052,0,89.53156466,0,79.05688912,0,0,4.526316,0,0,0,0,0,0,-0.4741,0
DHIL,IXIC,Diamond Hill Investment Group Inc ,Financials,Investment Management & Fund Operators,71.863116,0,0,0,2.420238095,0,0,0,4.083,12.553351,3.72,7.286299,4.456,12.517961,3.669,15.514775,9.758064516,0,-16.51705566,0,21.44998637,0,10.65,4.400393507,0,NULL,14,-0.857544141,9.99073,-0.430176565,0,29.39,0,0.60193796,0,18517,0,0,0,169.7,0.82,391.4735206,0,81.67751101,0,NULL,0,0,0,0,0,0,0,0,0,0.9879,0
AAL,IXIC,American Airlines Group Inc ,Industrials,Airlines,71.119865,20.160271,0,0,2.698809524,0,23.73,5.52187,1.218,0,0.392,0,2.27,0,1.282,0,210.7142857,12.009807,-82.73127753,0,77.06708268,0,7.7,2.853109837,0,0.324483776,0,-0.546525324,0,-0.676877885,11.990709,173.16,21.437208,0.813669476,0,221152,0,0,0,39.74,0.99,153.0835894,3.494544,35.61581458,0,313.1615153,16.665727,0,0,0,0,0,0,0,0,-0.492,0
NYMT,IXIC,New York Mortgage Trust Inc ,Financials,Specialized REITs,68.480231,29.610057,0,0,0.748809524,0,45.83,17.852187,0.176,0,0.18,0,0.187,0,0.206,0,-2.222222222,0,-3.743315508,0,-9.223300971,0,8.4,11.21780604,0,0.183286057,0,-0.967669925,21.017987,-0.548144164,0,13.76,0,0.501233892,0,731042,0,0,0,6.29,1.2,26.92209857,8.606935,1.737889984,0,106.3654981,21.003122,0,0,0,0,0,0,0,0,-0.3215,0
RDI,IXIC,Reading International Inc ,,Leisure & Recreation,66.848085,29.675513,0,0,4.194047619,0,48.98,19.161388,0.22,0,0.335,0,0.888,0,0.067,0,-34.32835821,0,-62.27477477,0,1225.373134,18.011184,10.5,2.503548112,0,0.214373214,0,-0.762872629,0,-0.42402633,0,20.01,0,0.415629235,0,-110726,0,-10316,0,15.85,1.35,61.05623786,5.487703,22.07523871,0,257.8047009,24.18781,0,0,0,0,0,0,0,0,-0.227,0
HNNA,IXIC,Hennessy Advisors Inc ,Financials,Investment Management & Fund Operators,65.71357,6.516336,0,7.818182,4.767857143,0,0,0,0.532,0,0.578,0,1.554,0,0.43,0,-7.958477509,0,-62.80566281,0,261.3953488,2.259248,4.52,0.948014981,0,NULL,0,-0.939539861,19.997392,-0.758159444,16.982342,41.67,4.043578,0.188403637,0,-31947,0,51200,8.096492,13.98,0.59,54.67352217,6.516336,22.47202959,0,NULL,0,7.818182,0,0,0,0,0,0,0,-0.3074,0
AMZN,IXIC,Amazon.com Inc ,,Department Stores,65.140013,0,0,0,50.6702381,16.261095,49.82,19.555053,5.068,17.670777,3.271,3.39472,2.153,0,0.518,0,54.93732803,0,51.92754296,0,315.6370656,8.258368,178.94,3.531461598,0,3.591730229,0,1.507215917,0,8.815688426,0,18.85,0,0.587475582,0,521564,0,-25672,0,1970.19,1.6,527.8092106,0,2305.536066,0,2266.849558,0,0,0,0,0,0,0,0,0,-0.1088,0
ANAT,IXIC,American National Insurance Co ,Financials,Multiline Insurance & Brokers,59.9444,3.173585,0,0,13.36190476,0,0,0,3.127,3.545308,0.696,0,5.125,13.756985,2.718,8.461536,349.2816092,17.027519,-86.4195122,0,88.55776306,0,11.1,0.830719886,4.979467,NULL,9,-0.696472518,0,-0.406099518,0,6.27,0,0.661688004,0,161342,0,40,0,129.49,1.13,394.9553492,0,454.9444621,3.173585,NULL,0,0,0,0,0,0,0,0,0,-0.5267,0
BRID,IXIC,Bridgford Foods Corp ,Consumer Non-Cyclicals,Food Processing,58.86698,0,0,23.404389,0.595238095,0,0,0,0.16,0,0.511,0,0.173,0,0.328,0,-68.6888454,0,195.3757225,4.045601,-47.25609756,0,11.69,19.6392,0,NULL,7,-0.438520653,0,-0.705985915,13.992473,20.21,0,0.045162499,0,8520,0,75,0,13.7,1.12,39.32605509,0,2.017962597,0,NULL,0,6.818182,0,0,0,0,0,0,16.586207,11.4954,10.424517
ANTM,NYSE,Anthem Inc ,Healthcare,Managed Healthcare,57.904547,0,0,0,23.44880952,4.366305,10.4,0,3.983,10.575335,4.994,12.517823,0.465,0,2.797,10.395657,-20.24429315,0,973.9784946,18.088983,-83.37504469,0,22.12,0.943331472,1.960444,2.126923077,0,-0.060721868,0,-0.344592593,0,11.73,0,0.88190593,0,819561,0,-24018,0,270.78,0.94,344.7590057,0,696.9127806,0,309.0942809,0,0,0,0,0,0,0,0,0,0.1607,0
BZUN,IXIC,Baozun Inc ,Technology,IT Services & Consulting,56.645511,16.133953,0,0,1.798809524,0,67.78,25.719457,0.205,0,0.084,0,0.837,0,0.124,0,144.047619,0,-89.96415771,0,575,14.792101,83.84,46.60860357,0,1.236943051,0,2.137724551,0,5.21037037,0,12.43,0,0.533610799,0,271157,0,0,0,45.97,3.73,61.2757126,0,9.502011672,0,358.0403276,16.133953,0,0,0,0,0,0,0,0,-0.0697,0
NEE,NYSE,NextEra Energy Inc ,Utilities,Electric Utilities,55.825575,0,0,0,28.44761905,10.400603,7.62,0,1.709,0,8.355,15.28517,0.586,0,1.789,0,-79.54518253,0,1325.767918,19.096935,-67.24427054,0,13.96,0.490726481,11.042867,1.832020997,0,0.057575758,0,-0.037241379,0,20.02,0,0.773833587,0,1674214,0,-118992,0,173.65,0.19,70.81076314,0,173.6549668,0,46.51534613,0,0,0,0,0,0,0,0,0,-0.0955,0
UNFI,IXIC,United Natural Foods Inc ,Consumer Non-Cyclicals,Food Retail & Distribution,53.869228,0,8.985426,16.894737,3.272619048,0,10.4,0,1.042,0,0.563,0,0.599,0,0.763,0,85.07992895,0,-6.010016694,0,-21.49410223,0,11.3,3.452891961,0,1.086538462,0,-0.866776704,12.997929,-0.715794769,14.991136,8.77,0,1.02650588,8.985426,242633,0,0,0,33.53,1.35,120.0176677,0,33.85966427,0,107.6020469,0,0,16.894737,0,0,0,0,0,0,-0.3475,0
VIAB,IXIC,Viacom Inc ,,Entertainment Production,50.1502,23.140787,0,8,5.135714286,0,7.81,0,1.277,0,0.494,0,1.078,0,1.675,0,158.5020243,4.007335,-54.17439703,0,-35.64179104,0,6.6,1.28511822,0,0.845070423,0,-0.831761407,5.996568,-0.637959408,9.00551,29.35,0,0.917447175,0,-1106736,0,0,0,29.85,1.53,207.3233107,17.487703,91.78907659,0,139.5857807,5.653084,0,0,0,0,0,8,0,0,-0.3796,0
FB,IXIC,Facebook Inc ,Technology,Internet Services,48.479134,0,22.482003,0,13.14285714,0,21.77,2.368024,1.743,0,1.694,0,2.209,0,1.592,0,2.892561983,0,-23.31371661,0,38.75628141,0,22.43,1.706630435,0,1.03031695,0,-0.673555523,0,0.661481481,0,29.26,0,0.733839447,0,26994378,22.482003,4850739,23.629107,162.32,0.44,95.40073958,0,108.0895079,0,179.0408707,0,0,0,0,0,0,0,0,0,-0.0248,0
URI,NYSE,United Rentals Inc ,Industrials,Business Support Services,43.356142,27.737786,0,3.666667,15.69404762,0,13.62,0,3.207,5.556032,2.147,0,2.424,0,2.325,6.395657,49.37121565,0,-11.42739274,0,4.258064516,0,16.72,1.06537207,0,1.227606461,0,-0.439114391,0,-0.298363407,0,33.65,0,0.885044074,0,388201,0,-29619,0,168.95,2.44,738.6999233,9.532648,999.4130839,11.316375,867.3355996,6.888763,0,0,0,0,0,3.666667,0,0,-0.105,0
TLF,IXIC,Tandy Leather Factory Inc ,,Textiles & Leather Goods,43.203573,0,0,20.110708,0.120238095,0,0,0,0.157,0,0.137,0,0.217,0,0.056,0,14.59854015,0,-36.86635945,0,287.5,5.095067,13.22,109.9485149,0,NULL,0,-0.925621695,17.997798,-0.274821722,0,8.9,0,0.540523269,0,10,0,0,0,7.5,0.62,10.53847579,0,0.109235022,0,NULL,0,0,15.421053,0,0,0,0,0,4.689655,-0.277,0
WVVI,IXIC,Willamette Valley Vineyards Inc ,Consumer Non-Cyclicals,Distillers & Wineries,42.553627,0,0,0,0.397619048,0,0,0,0.11,0,0.015,0,0.398,0,0.086,0,633.3333333,20.503128,-96.23115578,0,362.7906977,11.039991,13.22,33.24790419,0,NULL,0,-0.63020979,0,-0.66750503,11.010508,11.22,0,0.092808459,0,112183,0,-32779,0,8.05,0.5,9.122013994,0,0.312679872,0,NULL,0,0,0,0,0,0,0,0,0,0.0155,0
CASH,IXIC,Meta Financial Group Inc ,Financials,Banks,40.977175,0,0,0,14.08809524,0,20.94,0,1.262,0,3.427,4.326392,0.856,0,0.186,0,-63.17478844,0,300.3504673,10.14656,360.2150538,10.290834,14.78,1.049112726,0,0.70582617,0,-0.176601671,0,-0.209202782,0,12.73,0,0.823219485,0,-83007,0,514063,16.213389,84.7,1.01,173.4149978,0,210.6109486,0,313.0439701,0,0,0,0,0,0,0,0,0,0.0022,0
PCH,IXIC,PotlatchDeltic Corp ,Financials,Specialized REITs,39.204475,0,21.132196,0,0.828571429,0,-14.82,0,0.729,0,0.287,0,0.539,0,0.817,0,154.0069686,1.080388,-46.75324675,0,-34.02692778,0,20.17,24.34310345,0,-1.36099865,0,-0.91788128,16.991891,0.079186731,0,15.25,0,1.312769693,21.132196,-1621916,0,-1500,0,47.85,1.13,80.31761282,0,5.736972344,0,-102.6126743,0,0,0,0,0,0,0,0,0,-0.1364,0
MOMO,IXIC,Momo Inc ,Technology,Software,38.259375,11.729648,15.461854,0,2.408333333,0,32.83,11.067873,0.278,0,0.313,0,0.234,0,0.19,0,-11.18210863,0,33.76068376,0,23.15789474,0,23.33,9.687197232,0,0.710630521,0,-0.370140389,0,0.728148148,0,38.15,0,0.673736784,0,11502217,15.461854,0,0,47.37,1.57,95.50906708,0,19.82910947,0,270.3071269,11.729648,0,0,0,0,0,0,0,0,-0.089,0
DXC,NYSE,DXC Technology Co ,Technology,IT Services & Consulting,37.033391,10.178666,0,0,29.73452381,11.296783,12.41,0,0.779,0,1.78,0,2.906,3.600962,0.885,0,-56.23595506,0,-38.74741913,0,228.3615819,0,14.56,0.489666493,11.95698,1.173247381,0,-0.45508982,0,0.078518519,0,15.67,0,0.87364701,0,994931,0,-185159,0,92.46,0.96,182.6501578,0,468.1909884,10.178666,195.4041774,0,0,0,0,0,0,0,0,0,-0.6339,0
HIFS,IXIC,Hingham Institution For Savings ,Financials,Banks,36.989625,0,0,0,15.59047619,0,0,0,3.647,8.730295,4.077,10.298722,3.163,6.509797,2.974,11.450811,-10.54697081,0,28.89661714,0,6.355077337,0,15.79,1.012797801,0,NULL,0,-0.120334262,0,-0.155163189,0,16.17,0,0.316498359,0,2320,0,0,0,218.83,0.76,315.5692134,0,424.1270954,0,NULL,0,0,0,0,0,0,0,0,0,-0.4308,0
CBRL,IXIC,Cracker Barrel Old Country Store Inc ,,Restaurants & Bars,36.776474,0,0,0,16.59761905,0,0.61,0,2.031,0,5.016,13.288558,1.924,0,2.233,3.386847,-59.50956938,0,160.7068607,0,-13.83788625,0,13.39,0.806742218,5.978888,21.95081967,0,-0.855493201,8.013632,-0.265496434,0,43.42,6.108549,0.885610565,0,-326802,0,-391,0,150.05,0.56,188.018141,0,269.0218516,0,9.887160863,0,0,0,0,0,0,0,0,0,0.7449,0
VIA,IXIC,Viacom Inc ,,Entertainment Production,36.577341,16.596698,0,0,5.135714286,0,0,0,1.277,0,0.494,0,1.078,0,1.675,0,158.5020243,3.009,-54.17439703,0,-35.64179104,0,6.6,1.28511822,0,NULL,0,-0.831761407,6.990134,-0.637959408,9.981509,29.35,0,0.180715988,0,-76896,0,4933,0,33.55,1.53,233.0216775,16.596698,103.1666171,0,NULL,0,0,0,0,0,0,0,0,0,-0.2225,0
SHW,NYSE,Sherwin-Williams Co ,Basic Materials,Commodity Chemicals,35.569057,0,0,0,5.517857143,0,15.63,0,4.254,13.627882,2.618,0,3.039,5.482583,3.325,14.385698,62.49045073,0,-13.8532412,0,-8.601503759,0,35.36,6.40828479,0,2.262316059,0,0.275613276,0,0.066023515,0,41.05,2.072894,0.785602853,0,1072598,0,-38196,0,467.98,1.23,487.726612,0,232.0004974,0,657.1695642,0,0,0,0,0,0,0,0,0,-0.388,0
UFPI,IXIC,Universal Forest Products Inc ,Basic Materials,Forest & Wood Products,35.378498,10.648439,0,24.730059,4.483333333,0,17.98,0,0.711,0,0.531,0,0.678,0,0.547,0,33.89830508,0,-21.68141593,0,23.9488117,0,15.34,3.421561338,0,0.853170189,0,-0.656900022,0,-0.537533916,0,15.41,0,0.808499335,0,379012,0,-20400,0,37.84,1.82,134.5096556,0,51.98720884,0,208.4899662,10.648439,5.818182,0,0,10.222222,0,0,0,8.689655,-0.2258,0
PFIS,IXIC,Peoples Financial Services Corp ,Financials,Banks,34.429636,0,0,3.818182,11.57142857,0,0,0,0.805,0,0.791,0,3.386,7.554699,0.723,0,1.769911504,0,-76.63910219,0,368.3264177,12.073098,8.03,0.693950617,7.986662,NULL,0,-0.55264624,0,-0.57035848,2.996995,15.84,0,0.244391269,0,14150,0,0,0,45.84,0.66,112.8831978,0,112.6051604,0,NULL,0,3.818182,0,0,0,0,0,0,0,0.5843,0
WRLD,IXIC,World Acceptance Corp ,Financials,Consumer Lending,33.44651,27.142705,0,0,6.932142857,0,12.72,0,1.727,0,3.706,6.303805,1.363,0,1.102,0,-53.39989207,0,171.9002201,0,23.68421053,0,15,2.163833076,0,1.179245283,0,-0.231950845,0,-0.197431782,0,14.38,0,0.947519304,0,3459,0,8426,0,118.43,2.93,693.0976003,11.895412,414.1941016,2.203818,760.0173686,13.043475,0,0,0,0,0,0,0,0,-0.1956,0
KSS,NYSE,Kohls Corp ,,Department Stores,33.235363,0,17.994214,0,6.948809524,0,6.08,0,1.76,0,0.449,0,1.976,0,0.705,0,291.9821826,15.241149,-77.27732794,0,180.2836879,0,16.53,2.378824739,0,2.71875,0,-0.76839008,0,-0.09325288,0,15.52,0,1.101433062,17.994214,3209514,0,-81968,0,80.84,1.3,190.4816341,0,114.1052236,0,99.83864961,0,0,0,0,0,0,0,0,0,-0.485,0
QRTEA,IXIC,Qurate Retail Inc ,NULL,Department Stores,32.728286,1.575462,0,0,5.86547619,0,10.97,0,0.397,0,0.505,0,1.035,0,0.263,0,-21.38613861,0,-51.20772947,0,293.5361217,6.078694,10.07,1.716825655,0,0.917958067,0,-0.858904302,10.991481,-0.447613823,0,18.59,0,0.908824544,0,-6091781,0,220600,14.082649,22.16,1.29,85.05234661,1.575462,43.00625121,0,80.43312434,0,0,0,0,0,0,0,0,0,-0.0361,0
M,NYSE,"Macys Inc """,,Department Stores,31.915665,0,0,0,5.025,0,-10.61,0,0.532,0,0.449,0,2.453,1.459906,0.117,0,18.48552339,0,-81.69588259,0,1996.581197,21.464189,10.21,2.031840796,0,-0.962299717,0,-0.856942693,8.99157,-0.439934174,0,21.25,0,0.918571568,0,1072216,0,-26592,0,36.27,0.73,77.6964146,0,33.65728305,0,-71.06542749,0,0,0,0,0,0,0,0,0,-0.3942,0
LLL,NYSE,L3 Technologies Inc ,Industrials,AERO/DEF,30.83347,0,0,0,9.047619048,0,14.64,0,2.33,0,2.34,0,3.58,9.468977,0.288,0,-0.427350427,0,-34.63687151,0,1143.055556,21.364493,25.32,2.798526316,0,1.729508197,0,-0.047404063,0,0.062526227,0,13.05,0,0.82115763,0,2316636,0,202,0,216.17,1.22,312.0670076,0,243.4020174,0,393.8500854,0,0,0,0,0,0,0,0,0,-0.3599,0
ALB,NYSE,Albemarle Corp ,Basic Materials,Commodity Chemicals,30.474745,13.229045,0,0,24.56666667,8.209648,13.96,0,2.733,0,1.12,0,1.82,0,1.06,0,144.0178571,0,-38.46153846,0,71.69811321,0,14.99,0.610176391,9.036052,1.073782235,0,-0.459235209,0,-0.54808562,0,20.06,0,0.915082527,0,118865,0,5300,0,100.9,1.71,344.8593048,0,730.3485852,13.229045,415.0203358,0,0,0,0,0,0,0,0,0,-0.1351,0
