StockTicker,Ric,CompanyName,Sector,Industry,BelongToIndex,ListedExchCode,EpsRegressGrowth_Reuters,EpsRegressGrowth_Reuters_Nasdaq,M1QEps,M2QEps,M3QEps,M4QEps,M5QEps,M6QEps,M7QEps,M8QEps,PEG_Reuters,PEG_Nasdaq,Pe,PEvsIndustry,PEvsSector,IndustryPe,SectorPe,5YrHighPe,Industry5YrHighPe,Sector5YrHighPe,5YrLowPe,Industry5YrLowPe,Sector5YrLowPe,ReturnOnEquity,IndustryReturnOnEquity,SectorReturnOnEquity,ReturnOnEquity5YrAvg,IndustryReturnOnEquity5YrAvg,SectorReturnOnEquity5YrAvg,PercentageHeldByInstitutions,Source,PercentageHeldByInstitutions,NetSharesTradedByInstitutions,NetNumOfSharesTradedByInsidersIn3M,ClosePrice,52WkHigh,52WkLow,VolumeChange,Volume,AvgVolume,QuickRatio,IndustryQuickRatio,SectorQuickRatio,TotalDebtToEquity,IndustryTotalDebtToEquity,SectorTotalDebtToEquity,InterestCoverage,IndustryInterestCoverage,SectorInterestCoverage
WM,WM.N,"Waste Management Inc ",Industrials,"Environmental Services & Equipment",.SPX,NYSE,25.509523809500003,9.35,3.422,0.876,0.815,0.671,0.753,0.678,0.642,0.575,0.5797834608928315,1.5818181818181818,14.79,-0.45982468955441924,-0.3589076723016905,27.38,23.07,215.1,42.79,41.83,14.99,18.16,14.37,44.96,10.3,13.95,20.69,7.23,10.81,81.21,Nasdaq,0.7626235859193772,1708289,48968,85.52,89.73,70.1,0.2243,757494,618698,0.77,2.19,1.74,157.68,37.11,92.81,5.48,33.29,52.84
CSX,CSX.OQ,"CSX Corp ",Industrials,"Ground Freight & Logistics",".SPX, .IXIC",IXIC,3.15952380952,15.88,0.705,0.507,0.552,0.39,0.491,0.482,0.467,0.37,8.089826676724147,1.609571788413098,25.56,0.04283965728274164,0.107932379713914,24.51,23.07,25.6,25.34,41.83,13.07,13.9,14.37,14.9,11.03,13.95,16.59,10.75,10.81,77.46,Nasdaq,0.7717390063811718,46950366,42112,55.04,60.01,45.41,0.5175,3514715,2316079,0.81,0.88,1.74,80.31,32.75,92.81,5.85,49.31,52.84
PM,PM.N,"Philip Morris International Inc ","Consumer Non-Cyclicals",Tobacco,.SPX,NYSE,4.32261904762,12.1,1.476,1.265,1.143,1.022,1.101,1.246,1.15,0.984,5.036298540345903,1.7991735537190083,21.77,-0.4379034340304673,-0.5168664003550821,38.73,45.06,21.53,37.58,47.2,16.57,23.54,28.21,0,38.08,76.37,0,50.06,76.84,73.97,Nasdaq,0.7284239661865918,3674650,35056,106.81,123.53,96.67,0.4815,2066767,1395010,0.8,1.39,0.98,0,4.69,39.89,12.14,3.62,45.29
GOOGL,GOOGL.OQ,"Alphabet Inc ",Technology,"Internet Services",".SPX, .IXIC",IXIC,38.8011904762,18.39,9.795,9.566,5.009,7.729,7.713,7.246,6.999,6.016,0.8703341208232762,1.8363240891789017,33.77,-0.08033769063180818,1.5778625954198477,36.72,13.1,35.17,56.29,25.54,26.77,21.51,9.78,15.43,20.54,18.13,15.03,22.35,13.51,81.85,Nasdaq,0.7938818555781667,1350414,0,1084.14,1197.99,824.58,0.3659,902341,660626,5.11,1.69,1.74,2.6,34.39,17.21,0,71.58,8.98
FBHS,FBHS.N,"Fortune Brands Home & Security Inc ",,"Construction Supplies & Fixtures",.SPX,NYSE,5.55476190476,11.22,0.995,0.831,0.896,0.496,0.665,0.773,0.796,0.382,3.7463351907428186,1.854723707664884,20.81,-0.07757092198581561,0.07102418939783828,22.56,19.43,37.67,38.41,36.51,20.46,14.38,13.14,18.12,9.38,-33.18,13.5,9.48,14.95,90.76,Nasdaq,0.9256921158275748,2241553,53749,60.01,73.58,57.76,0.3107,467612,356774,1.13,1,1.21,58,42.22,66.81,12.95,464.92,8.58
WERN,WERN.OQ,"Werner Enterprises Inc ",Industrials,"Ground Freight & Logistics",.IXIC,IXIC,1.64642857143,15.56,0.421,0.31,0.32,0.221,0.301,0.261,0.253,0.278,17.893275488053888,1.8933161953727506,29.46,0.20195838433292534,0.2769830949284786,24.51,23.07,30.35,25.34,41.83,13.72,13.9,14.37,8.48,11.03,13.95,10.71,10.75,10.81,67.24,Nasdaq,0.6553547966306323,140209,52410,38.1,43.3,24.23,0.2199,230124,188647,1.67,0.88,1.74,8.15,32.75,92.81,0,49.31,52.84
TCBI,TCBI.OQ,"Texas Capital Bancshares Inc ",Financials,Banks,.IXIC,IXIC,8.01071428571,11.65,1.191,1.119,0.969,0.798,0.962,0.866,0.785,0.489,2.78751671868183,1.9167381974248925,22.33,0.09729729729729719,0.08608949416342404,20.35,20.56,25.22,20.32,23.28,16.99,11.29,11.38,10.48,16.23,15.6,10.28,19.76,18.87,0,Nasdaq,1.0464774417151954,929621,8392,91.75,102.9,69.7,0.3122,185101,141066,0,0,0.04,34.5,54.5,57.27,0,0,4.05
UNP,UNP.N,"Union Pacific Corp ",Industrials,"Ground Freight & Logistics",.SPX,NYSE,6.78571428571,10.95,1.706,1.497,1.447,1.316,1.39,1.359,1.165,1.156,3.174315789475689,1.967123287671233,21.54,-0.12117503059975532,-0.06631989596879073,24.51,23.07,22.51,25.34,41.83,14.25,13.9,14.37,21.33,11.03,13.95,22.15,10.75,10.81,82.4,Nasdaq,0.7982928519642501,2089922,7777,128.5,143.05,101.07,0.5546,1745408,1122724,0.83,0.88,1.74,68.17,32.75,92.81,10.59,49.31,52.84
BGCP,BGCP.OQ,"BGC Partners Inc ",Financials,"Investment Banking & Brokerage Services",.IXIC,IXIC,0.0285714285714,11.11,0.004,0.279,0.073,0.062,0.157,0.308,0.054,0.047,789.6000000007896,2.0306030603060305,22.56,0.17500000000000004,0.09727626459143979,19.2,20.56,34.99,152.08,23.28,15.63,57.33,11.38,18.97,7.81,15.6,18.25,10.21,18.87,56.94,Nasdaq,0.5400361365148479,3147601,131392775,13.25,16.96,10.4,0.0205,483135,473418,0,0.29,0.04,318.2,472.23,57.27,0,26.02,4.05
NYMT,NYMT.OQ,"New York Mortgage Trust Inc ",Financials,"Specialized REITs",.IXIC,IXIC,0.767857142857,4.42,0.187,0.187,0.099,0.126,0.088,0.183,0.102,0.125,12.00744186046735,2.085972850678733,9.22,-0.7826496935407826,-0.551556420233463,42.42,20.56,13.24,106.13,23.28,5.2,30.32,11.38,11.13,12.96,15.6,12.84,10.77,18.87,21.73,Nasdaq,0.390218311370179,977914,103190,5.64,6.68,5.35,0.7765,401689,226109,0,0.07,0.04,1131.66,121.99,57.27,0,2.68,4.05
